CSNM|CTNM|TRADE_ID|BRCA|PARENTBRCA|BRCA_CO|DTYP|LNRF|CIDT|CIDN|CUIN|CITY|CUSTSIZE|LANO|AL_TP|LOANTYPE|LOANBUSTYPE|USE_LOAN|LOAN_PRD|USE_OPRLOAN|LINE_CODE|FACT|FCCY|FAMT|REAL_INTRATE_CODE|DEALDATE|MATDATE|ACT_END_LOAN|LOAN_EXT|STDT_LOANEXT|ENDT_LOANEXT|CCY|NOTESELL_AM|NOTESELL_BL|RFTP|TM_INSRATE|LVL_INSRATE|REPR_LOAN_INSRATE|DATE_INS_REPR|LOAN_GAR_MTD|OVDUE_LOAN|OVDUE_LOAN_PRD|LOAN_RISK|LOANGRADE|LOAN_STAT|BEG_LOAN_QUL|RESTR_DATE|RESTR_LOAN|TP_RESTR_LOAN|GOV_PLTF_LOAN|PAY_TERM|NX_PAY|CUR_INS_RECV|BASIC_RATE|REAL_INTRATE|REV_CDT_COM|REFN|OVDUE_DAY|BLING_DATE|AC_REPAY_PRIN|AC_REPAY_INS|LOAN_PAT|OVE_DEFP_INS|OVE_DEFI_INS|ORLOAN_ID|GENERAL_PRO|SPECIAL_PRO|SPECIFIC_PRO|ISSUE_PRICE|DRAWDOWN_ACCOUNT|OVE_DEFP|OVE_DEFI|LOANPURPOSE|BILN|CREDIT_LINE|UNEARN_INS|UNEARN_FEE|LOAN_NO|START_DATE|EXPIRY_DATE|AVAILALBE|RECOURSE_FLG|CONSIGNOR|BANK_PAY_FLG|SYS_DATE|
1002611|裕融租赁有限公司|LD1002600011||0606|0606|02401|银团贷款协议|U|913205945558823508|J6631|320500|CS04|1002611.0004310.01.01|AL01|21056|FA02|J6631|CT02||1002611.0004310.01|0004310|CNY|100000000.000000|1.100000|20171012|20201012|||20171012|20201012|CNY|50000000.000000|50000000.000000|RF02|RT01|5.225|RR02|20180920|C|0||FQ01||FS01|||0|||3|20180920|94340.280000|4.75|5.225||2|0|20201012|1060600100000019|1060600100000019|FB01||||500000.000000|0|0.00|100000000.000000|1060600100000019|||00299||1002611.0004300.01|0.000000|0.00||20171012|20201012|1|||2|20180702|
1001063|山东力诺特种玻璃股份有限公司|LD1428200010||0606|0606|02104|2014固贷字第00005号|U|9137012673578730XH|C3099|370100|CS02|1001063.0003300.01.01|AL01|21053|FA01|C3099|CT02||1001063.0003300.01|0003300|CNY|32005428.540000|1.150000|20140121|20190121|||20140121|20190121|CNY|39972857.250000|11991857.150000|RF02|RT01|5.4625|RR01|20180721|E0301|0||FQ01||FS01|||0|||1|20180721|21835.180000|4.75|5.4625|1|2|0|20190121|1060602000000178|1060602000000178|FB01||||119918.571500|0|0.00|32005428.540000|1060602000000178|||00325||1001063.0003300.01|0.000000|0.00|CNCN4L-00014-906|20140121|20190121|1|||2|20180702|
1001063|山东力诺特种玻璃股份有限公司|LD1428200011||0606|0606|02102|2014固贷字第00004号|U|9137012673578730XH|C3099|370100|CS02|1001063.0003149.01.01|AL01|21053|FA01|C3099|CT02||1001063.0003149.01|0003149|USD|6779843.870000|10.889057|20140211|20190121|||20140211|20190121|USD|1162978.980000|387291.130000|RF02|RT01|6.85575|RR02|20180811|E03|0||FQ01||FS01|||0|||1|20180721|885.060000|0.6296|6.85575|1|2|0|20190121|1060603000001106|1060603000001106|FB01||||3872.911300|0|0.00|6779843.870000|1060603000002633|||00302||1001063.0003100.01|0.000000|0.00|CNCN4L-00017-606|20140211|20190121|1|||2|20180702|
1000949|山东宏济堂制药集团股份有限公司|LD1428200012||0606|0606|02104|2014固贷字第00003号|U|91370100163142804X|C2710|370100|CS01|1000949.0003300.02.01|AL01|21053|FA01|C2710|CT02||1000949.0003300.02|0003300|CNY|96026704.000000|1.150000|20140123|20190121|||20140123|20190121|CNY|119866480.000000|35959944.000000|RF02|RT01|5.4625|RR01|20180721|B99|0||FQ01||FS01|||0|||1|20180721|65477.060000|4.75|5.4625|1|2|0|20190121|1060602000000219|1060602000000219|FB01||||359599.440000|0|0.00|96026704.000000|1060602000000219|||00325||1000949.0003300.02|0.000000|0.00|CNCN4L-00017-906|20140123|20190121|1|||2|20180702|
1000949|山东宏济堂制药集团股份有限公司|LD1428200017||0606|0606|02102|2014固贷字第00002号|U|91370100163142804X|C2710|370100|CS01|1000949.0003300.01.01|AL01|21053|FA01|C2710|CT02||1000949.0003300.01|0003300|USD|7000000.000000|10.810824|20140415|20190121|||20140415|20190121|USD|1181983.670000|393994.550000|RF02|RT01|6.84163|RR01|20180715|C|0||FQ01||FS01|||0|||1|20180721|898.520000|0.63285|6.84163|1|2|0|20190121|1060603000001114|1060603000001114|FB01||||3939.945500|0|0.00|8880737.400000|1060603000002641|||00302||1000949.0003300.01|0.000000|0.00|CNCN4L-00039-606|20140414|20190121|1|||2|20180702|
1000084|上海力诺工贸股份有限公司|LD1428200024||0606|0606|02104|2014固贷字第00006号|U|91310000631681498R|C4190|310118|CS03|1000084.0003300.01.01|AL01|21053|FA01|C4190|CT02||1000084.0003300.01|0003300|CNY|16060840.020000|1.100000|20140421|20190320|||20140421|20190320|CNY|9144700.000000|1777059.920000|RF02|RT01|5.225|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|3095.050000|4.75|5.225|1|2|0|20190320|1060602000002947|1060602000002947|FB01||||17770.599200|0|0.00|16060840.020000|1060602000002947|||00325||1000084.0003300.01|0.000000|0.00|CNCN4L-00071-906|20140321|20190320|1|||2|20180702|
1000949|山东宏济堂制药集团股份有限公司|LD1428200025||0606|0606|02102|2014固贷字第00002号|U|91370100163142804X|C2710|370100|CS01|1000949.0003300.01.01|AL01|21053|FA01|C2710|CT02||1000949.0003300.01|0003300|USD|7000000.000000|1.150000|20140429|20190121|||20140429|20190121|CNY|27819783.840000|8345935.160000|RF02|RT01|5.4625|RR01|20180721|C|0||FQ01||FS01|||0|||1|20180721|15196.560000|4.75|5.4625|1|2|0|20190121|1060602000000219|1060602000000219|FB01||||83459.351600|0|0.00|8880737.400000|1060602000000219|||00302||1000949.0003300.01|0.000000|0.00|CNCN4L-00076-906|20140414|20190121|1|||2|20180702|
1000084|上海力诺工贸股份有限公司|LD1428200028||0606|0606|02104|2014固贷字第00006号|U|91310000631681498R|C4190|310118|CS03|1000084.0003300.01.01|AL01|21053|FA01|C4190|CT02||1000084.0003300.01|0003300|CNY|16060840.020000|1.100000|20140611|20190320|||20140611|20190320|CNY|233900.000000|233900.000000|RF02|RT01|5.225|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|407.380000|4.75|5.225|1|2|0|20190320|1060602000002947|1060602000002947|FB01||||2339.000000|0|0.00|16060840.020000|1060602000002947|||00325||1000084.0003300.01|0.000000|0.00|CNCN4L-00110-906|20140321|20190320|1|||2|20180702|
1000084|上海力诺工贸股份有限公司|LD1428200029||0606|0606|02104|2014固贷字第00006号|U|91310000631681498R|C4190|310118|CS03|1000084.0003300.01.01|AL01|21053|FA01|C4190|CT02||1000084.0003300.01|0003300|CNY|16060840.020000|1.100000|20140617|20190320|||20140617|20190320|CNY|6679350.000000|3724980.020000|RF02|RT01|5.225|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|6487.670000|4.75|5.225|1|2|0|20190320|1060602000002947|1060602000002947|FB01||||37249.800200|0|0.00|16060840.020000|1060602000002947|||00325||1000084.0003300.01|0.000000|0.00|CNCN4L-00115-906|20140321|20190320|1|||2|20180702|
1001063|山东力诺特种玻璃股份有限公司|LD1428200032||0606|0606|02102|2014固贷字第00004号|U|9137012673578730XH|C3099|370100|CS02|1001063.0003149.01.01|AL01|21053|FA01|C3099|CT02||1001063.0003149.01|0003149|USD|6779843.870000|1.150000|20140729|20190121|||20140729|20190121|CNY|3825103.060000|1147530.900000|RF02|RT01|5.4625|RR01|20180721|E03|0||FQ01||FS01|||0|||1|20180721|2089.460000|4.75|5.4625|1|2|0|20190121|1060602000000178|1060602000000178|FB01||||11475.309000|0|0.00|6779843.870000|1060602000000178|||00302||1001063.0003100.01|0.000000|0.00|CNCN4L-00141-906|20140211|20190121|1|||2|20180702|
1000084|上海力诺工贸股份有限公司|LD1428200034||0606|0606|02104|2014固贷字第00006号|U|91310000631681498R|C4190|310118|CS03|1000084.0003300.01.01|AL01|21053|FA01|C4190|CT02||1000084.0003300.01|0003300|CNY|16060840.020000|1.100000|20140903|20190320|||20140903|20190320|CNY|87800.000000|87800.000000|RF02|RT01|5.225|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|152.920000|4.75|5.225|1|2|0|20190320|1060602000002947|1060602000002947|FB01||||878.000000|0|0.00|16060840.020000|1060602000002947|||00325||1000084.0003300.01|0.000000|0.00|CNCN4L-00174-906|20140321|20190320|1|||2|20180702|
1000084|上海力诺工贸股份有限公司|LD1428200035||0606|0606|02104|2014固贷字第00006号|U|91310000631681498R|C4190|310118|CS03|1000084.0003300.01.01|AL01|21053|FA01|C4190|CT02||1000084.0003300.01|0003300|CNY|16060840.020000|1.100000|20141023|20190320|||20141023|20190320|CNY|85000.000000|85000.000000|RF02|RT01|5.225|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|148.040000|4.75|5.225|1|2|0|20190320|1060602000002947|1060602000002947|FB01||||850.000000|0|0.00|16060840.020000|1060602000002947|||00325||1000084.0003300.01|0.000000|0.00|CNCN4L-00202-906|20140321|20190320|1|||2|20180702|
1001031|TCL家庭电器（南海）有限公司|LD1428200042||0606|0606|02201|490836TC-1|Q|J5880002419805|G5920|440605|CS03|1001031.0003300.01.01|AL01|21054|FA01|G5920|CT02||1001031.0003300.01|0003300|CNY|31000000.000000|1.200000|20150130|20190731|||20150130|20190731|CNY|28500000.000000|23500000.000000|RF02|RT01|5.7|RR02|20180921|B01|0||FQ01||FS01|||0|||1|20180921|44650.000000|4.75|5.7||2|0|20190731|1060602000001185|1060602000001185|FB01||||235000.000000|0|0.00|31000000.000000|1060602000001185|||00314||1001031.0003300.01|0.000000|0.00|CNCN5L-00023-906|20150130|20190731|1|||2|20180702|
1001031|TCL家庭电器（南海）有限公司|LD1428200045||0606|0606|02201|490836TC-2|Q|J5880002419805|G5920|440605|CS03|1001031.0003300.02.01|AL01|21054|FA01|G5920|CT02||1001031.0003300.02|0003300|CNY|49290000.000000|1.200000|20150213|20200213|||20150213|20200213|CNY|46698007.840000|41698007.840000|RF02|RT01|5.7|RR02|20180921|B01|0||FQ01||FS01|||0|||1|20180921|79226.220000|4.75|5.7||2|0|20200213|1060602000001185|1060602000001185|FB01||||416980.078400|0|0.00|49290000.000000|1060602000001185|||00314||1001031.0003300.02|0.000000|0.00|CNCN5L-00033-906|20150213|20200213|1|||2|20180702|
1001315|甘氏工业（上海）有限公司|LD1428200050||0606|0606|02199|2015固贷字第00185号|U|91310000729485145W|C2919|310117|CS02|1001315.0003300.01.01|AL01|21053|FA01|C2919|CT02||1001315.0003300.01|0003300|CNY|25000000.000000|1.250000|20150515|20200515|||20150515|20200515|CNY|25000000.000000|15750000.000000|RF02|RT01|5.9375|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|31171.870000|4.75|5.9375|1|2|0|20200515|1060702000001357|1060702000001357|FB01||||157500.000000|0|0.00|25000000.000000|1060702000001357|||00331||1001315.0003300.01|0.000000|0.00|CNCN5L-00089-906|20150515|20200515|1|||2|20180702|
1000969|山东信达置业有限公司|LD1428200055||0608|0608|02199|2015固贷字第00171号|U|91371600773528149C|K7010|371600|CS02|1000969.0003300.01.01|AL01|21053|FA01|K7010|CT02||1000969.0003300.01|0003300|CNY|19000000.000000|1.250000|20150623|20200409|||20150623|20200409|CNY|9650000.000000|4784500.000000|RF02|RT01|5.9375|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|9469.320000|4.75|5.9375|1|2|0|20200409|1060802000004388|1060802000004388|FB01||||47845.000000|0|0.00|18370000.000000|1060602000000324|||00331||1000969.0003300.01|0.000000|0.00|CNCN5L-00110-906|20150623|20200409|1|||2|20180702|
1000969|山东信达置业有限公司|LD1428200067||0608|0608|02199|2015固贷字第00171号|U|91371600773528149C|K7010|371600|CS02|1000969.0003300.01.01|AL01|21053|FA01|K7010|CT02||1000969.0003300.01|0003300|CNY|19000000.000000|1.250000|20150923|20200409|||20150923|20200409|CNY|8350000.000000|3575500.000000|RF02|RT01|5.9375|RR01|20180721|B01|0||FQ01||FS01|||0|||1|20180721|7076.510000|4.75|5.9375|1|2|0|20200409|1060802000004388|1060802000004388|FB01||||35755.000000|0|0.00|18370000.000000|1060602000000324|||00331||1000969.0003300.01|0.000000|0.00|CNCN5L-00160-906|20150623|20200409|1|||2|20180702|
1001405|上海仙乐斯房地产有限公司|LD1428200098||0606|0606|02402|731366SH-银贷-1|T|310000400108924|K7010|310000|CS03|1001405.0004310.01.01|AL01|21056|FA02|K7010|CT02||1001405.0004310.01|0004310|CNY|164445591.000000|1.080000|20151217|20181217|||20151217|20181217|CNY|164600000.000000|127984714.260000|RF02|RT01|5.13|RR02|20180917|B|0||FQ01||FS01|||0|||1|20180919|255329.500000|4.75|5.13||2|0|20181217|1060600100000019|1060600100000019|FB01||||1279847.142600|0|0.00|164445591.000000|CNY1499200010606|||00321||1001405.0004300.01|0.000000|0.00|CNCN5L-00256-906|20151217|20181217|1|||2|20180702|
1001372|上海奥尚物业有限公司|LD1428200099||0606|0606|02402|汇丰-奥尚境内贷款协议|U|91310000MA1FL0AU6X|K7090|310000|CS02|1001372.0004310.01.01|AL01|21056|FA02|K7090|CT02||1001372.0004310.01|0004310|CNY|194000000.000000|1.100000|20151222|20201216|||20151222|20201216|CNY|185350000.000000|184213186.650000|RF02|RT01|5.225|RR02|20180918|B|0||FQ01||FS01|||0|||1|20180920|347574.460000|4.75|5.225||2|0|20201216|1060600100000019|1060600100000019|FB01||||1842131.866500|0|0.00|194000000.000000|CNY1499200010606|||00321||1001372.0004300.01|0.000000|0.00|CNCN5L-00263-906|20151221|20201221|1|||2|20180702|
1001161|上海星峡置业有限公司|LD1428200126||0606|0606|02402|SH:3498664.12|U|913100006073017580|K7090|310106|CS02|1001161.0004310.01.01|AL01|21056|FA02|K7090|CT02||1001161.0004310.01|0004310|CNY|40000000.000000||20160129|20190128|||20160129|20190128|CNY|39910320.700000|38313907.860000|RF01|RT01|5.1775|RR04|20190128|B|0||FQ01||FS01|||0|||1|20180727|369189.090000||5.1775||2|0|20190128|1060600100000019|1060600100000019|FB01||||383139.078600|0|0.00|40000000.000000|CNY1499200010606|||00321||1001161.0004300.01|0.000000|0.00|CNCN6L-00028-906|20160128|20190128|1|||2|20180702|
1001151|上海世界贸易商城有限公司|LD1428200145||0606|0606|02402|19164000048|T|310000400037291|K7090|310000|CS01|1001151.0004310.01.01|AL01|21056|FA02|K7090|CT03||1001151.0004310.01|0004310|CNY|207000000.000000||20160330|20211018|||20160330|20211018|CNY|207000000.000000|163040000.000000|RF01|RT01|5.047|RR07|20211018|B|0||FQ01||FS01|||0|||1|20180921|274287.620000||5.047||2|0|20211018|CNY1421800010606|1060600100000019|FB01||||1630400.000000|0|0.00|207000000.000000|CNY1499200010606|||00321||1001151.0004300.01|0.000000|0.00|CNCN6L-00060-906|20160329|20211018|1|||2|20180702|
